"Gene","Category","Source"
"FAM66C","MSigDB_Ferroptosis","MSigDB"
"LINC00623","MSigDB_Ferroptosis","MSigDB"
"LINC00862","MSigDB_Ferroptosis","MSigDB"
"LINC01150","MSigDB_Ferroptosis","MSigDB"
"LINC01312","MSigDB_Ferroptosis","MSigDB"
"LINC01585","MSigDB_Ferroptosis","MSigDB"
"LINC01638","MSigDB_Ferroptosis","MSigDB"
"LINC01711","MSigDB_Ferroptosis","MSigDB"
"LINC01800","MSigDB_Ferroptosis","MSigDB"
"LINC02448","MSigDB_Ferroptosis","MSigDB"
"LINC02880","MSigDB_Ferroptosis","MSigDB"
"LINC03065","MSigDB_Ferroptosis","MSigDB"
"MIR646HG","MSigDB_Ferroptosis","MSigDB"
"SEMA6A-AS2","MSigDB_Ferroptosis","MSigDB"
"ACSL1","MSigDB_Ferroptosis","MSigDB"
"ACSL3","MSigDB_Ferroptosis","MSigDB"
"ACSL4","MSigDB_Ferroptosis","MSigDB"
"ACSL5","MSigDB_Ferroptosis","MSigDB"
"ACSL6","MSigDB_Ferroptosis","MSigDB"
"AIFM2","MSigDB_Ferroptosis","MSigDB"
"AKR1C1","MSigDB_Ferroptosis","MSigDB"
"AKR1C2","MSigDB_Ferroptosis","MSigDB"
"AKR1C3","MSigDB_Ferroptosis","MSigDB"
"ALOX15","MSigDB_Ferroptosis","MSigDB"
"ATG5","MSigDB_Ferroptosis","MSigDB"
"ATG7","MSigDB_Ferroptosis","MSigDB"
"BACH1","MSigDB_Ferroptosis","MSigDB"
"CBS","MSigDB_Ferroptosis","MSigDB"
"CHMP5","MSigDB_Ferroptosis","MSigDB"
"CHMP6","MSigDB_Ferroptosis","MSigDB"
"CISD1","MSigDB_Ferroptosis","MSigDB"
"COQ2","MSigDB_Ferroptosis","MSigDB"
"CP","MSigDB_Ferroptosis","MSigDB"
"CTH","MSigDB_Ferroptosis","MSigDB"
"CYBB","MSigDB_Ferroptosis","MSigDB"
"DPP4","MSigDB_Ferroptosis","MSigDB"
"FDFT1","MSigDB_Ferroptosis","MSigDB"
"FTH1","MSigDB_Ferroptosis","MSigDB"
"FTL","MSigDB_Ferroptosis","MSigDB"
"FTMT","MSigDB_Ferroptosis","MSigDB"
"GCH1","MSigDB_Ferroptosis","MSigDB"
"GCLC","MSigDB_Ferroptosis","MSigDB"
"GCLM","MSigDB_Ferroptosis","MSigDB"
"GPX4","MSigDB_Ferroptosis","MSigDB"
"GSS","MSigDB_Ferroptosis","MSigDB"
"HMGCR","MSigDB_Ferroptosis","MSigDB"
"HMOX1","MSigDB_Ferroptosis","MSigDB"
"HSPB1","MSigDB_Ferroptosis","MSigDB"
"IREB2","MSigDB_Ferroptosis","MSigDB"
"LPCAT3","MSigDB_Ferroptosis","MSigDB"
"MAP1LC3A","MSigDB_Ferroptosis","MSigDB"
"MAP1LC3B","MSigDB_Ferroptosis","MSigDB"
"MAP1LC3C","MSigDB_Ferroptosis","MSigDB"
"NCOA4","MSigDB_Ferroptosis","MSigDB"
"NOX1","MSigDB_Ferroptosis","MSigDB"
"NOX4","MSigDB_Ferroptosis","MSigDB"
"PCBP1","MSigDB_Ferroptosis","MSigDB"
"PCBP2","MSigDB_Ferroptosis","MSigDB"
"PHKG2","MSigDB_Ferroptosis","MSigDB"
"POR","MSigDB_Ferroptosis","MSigDB"
"PRNP","MSigDB_Ferroptosis","MSigDB"
"SAT1","MSigDB_Ferroptosis","MSigDB"
"SAT2","MSigDB_Ferroptosis","MSigDB"
"SLC11A2","MSigDB_Ferroptosis","MSigDB"
"SLC1A5","MSigDB_Ferroptosis","MSigDB"
"SLC38A1","MSigDB_Ferroptosis","MSigDB"
"SLC39A14","MSigDB_Ferroptosis","MSigDB"
"SLC39A8","MSigDB_Ferroptosis","MSigDB"
"SLC3A2","MSigDB_Ferroptosis","MSigDB"
"SLC40A1","MSigDB_Ferroptosis","MSigDB"
"SLC7A11","MSigDB_Ferroptosis","MSigDB"
"STEAP3","MSigDB_Ferroptosis","MSigDB"
"TF","MSigDB_Ferroptosis","MSigDB"
"TFRC","MSigDB_Ferroptosis","MSigDB"
"TP53","MSigDB_Ferroptosis","MSigDB"
"TXNRD1","MSigDB_Ferroptosis","MSigDB"
"VDAC2","MSigDB_Ferroptosis","MSigDB"
"VDAC3","MSigDB_Ferroptosis","MSigDB"
"ACLY","MSigDB_Ferroptosis","MSigDB"
"ADGRG1","MSigDB_Ferroptosis","MSigDB"
"DHCR7","MSigDB_Ferroptosis","MSigDB"
"HDAC3","MSigDB_Ferroptosis","MSigDB"
"KAT2B","MSigDB_Ferroptosis","MSigDB"
"NFE2L2","MSigDB_Ferroptosis","MSigDB"
"NINJ1","MSigDB_Ferroptosis","MSigDB"
"NQO1","MSigDB_Ferroptosis","MSigDB"
"SC5D","MSigDB_Ferroptosis","MSigDB"
"SLC25A1","MSigDB_Ferroptosis","MSigDB"
"SLC39A7","MSigDB_Ferroptosis","MSigDB"
"SQSTM1","MSigDB_Ferroptosis","MSigDB"
"TMEM164","MSigDB_Ferroptosis","MSigDB"
"MAP1LC3BP1","KEGG_Ferroptosis","KEGG_hsa04216"
"MAP1LC3B2","KEGG_Ferroptosis","KEGG_hsa04216"
"ALOX12","Core_Ferroptosis","FerrDb_V2_Core"
"ALOX5","Core_Ferroptosis","FerrDb_V2_Core"
"BECN1","Core_Ferroptosis","FerrDb_V2_Core"
"FSP1","Core_Ferroptosis","FerrDb_V2_Core"
"DHODH","Core_Ferroptosis","FerrDb_V2_Core"
"GSR","Core_Ferroptosis","FerrDb_V2_Core"
"HMOX2","Core_Ferroptosis","FerrDb_V2_Core"
"PTGS2","Core_Ferroptosis","FerrDb_V2_Core"
"CHAC1","Core_Ferroptosis","FerrDb_V2_Core"
"TFAM","Core_Ferroptosis","FerrDb_V2_Core"
"CS","Core_Ferroptosis","FerrDb_V2_Core"
"ACO1","Core_Ferroptosis","FerrDb_V2_Core"
"CISD2","Core_Ferroptosis","FerrDb_V2_Core"
"MT1G","Core_Ferroptosis","FerrDb_V2_Core"
"HSPA5","Core_Ferroptosis","FerrDb_V2_Core"
