"Gene","High_Mean","Low_Mean","Log2FC","P_value"
"CD40",4.22452272727273,4.44512612612613,-0.0732669028348975,2.32393257456633e-05
"CD70",4.33721818181818,4.42193693693694,-0.0278448484721997,0.0326234937673454
"IDO1",4.18611818181818,4.03566666666667,0.0526778540801199,0.0426354172528054
"PDCD1",3.8121,3.87605405405405,-0.0239404436506882,0.0522579937799264
"TNFRSF9",3.54089090909091,3.48228828828829,0.0240083800710107,0.0715250538118371
"CD40LG",3.64223636363636,3.67582882882883,-0.0132089372939718,0.103853361182727
"ICOS",3.74560909090909,3.67451351351351,0.0275727604169455,0.191696749752301
"SIGLEC15",3.7472,3.94709009009009,-0.0747819968548415,0.399998457164147
"PDCD1LG2",3.38757272727273,3.39320720720721,-0.00239056055267528,0.434409296055571
"CD28",3.49574848484848,3.44523423423423,0.0209389797626107,0.532032763667735
"CTLA4",3.6638,3.6274954954955,0.0143276274697009,0.728462526072943
"TNFRSF4",3.61408181818182,3.613,0.00043072060639057,0.779600041092874
"LAG3",3.8471,3.79481081081081,0.0196918306639218,0.965595244669196
"CD27",4.72963636363636,4.73337837837838,-0.00113858019592131,0.967272541561196
