"Cell_Type","Correlation","P_value"
"Type_17_T_helper_cell",-0.467241747345141,2.1973295072378e-13
"Monocyte",-0.370635794386652,1.32874462313236e-08
"MDSC",-0.307593531520572,3.15816643881433e-06
"Eosinophil",-0.293648726735341,9.04200696896789e-06
"M2_Macrophage",-0.277536122721749,2.85187827924694e-05
"Activated_dendritic_cell",0.250687627158215,0.000173715433951252
"Plasmacytoid_dendritic_cell",0.236561596429461,0.000389230666302081
"Neutrophil",0.158720823418977,0.0182178130574633
"Natural_killer_cell",-0.150224020812256,0.0256139965941382
"Regulatory_T_cell",-0.114008963624472,0.090880558012391
"T_follicular_helper_cell",-0.0983702880173274,0.144944191120876
"M1_Macrophage",0.0833419263638263,0.217169782506188
"Activated_B_cell",-0.079267857127995,0.240568740857221
"Activated_CD4_T_cell",-0.0764128401276907,0.257983002856006
"Natural_killer_T_cell",0.0696087696087696,0.302668889069467
"Macrophage",-0.0677754677754678,0.315604153602112
"Mast_cell",0.0558284322990205,0.408575762562008
"Central_memory_CD8_T_cell",0.0436196608385835,0.518873592641018
"Central_memory_CD4_T_cell",0.026786885610415,0.691862059338518
"Activated_CD8_T_cell",0.0111104378747712,0.869544613671533
"Effector_memory_CD4_T_cell",-0.0108019226888755,0.873136196558452
"Type_2_T_helper_cell",-0.00376944305242075,0.95556548888444
"Immature_dendritic_cell",-0.00352875353230833,0.958400115378306
"Effector_memory_CD8_T_cell",0.00327915419056629,0.961340225202852
"Type_1_T_helper_cell",0.00137025670217771,0.983840095312772
